id,title,summary,overview,symptoms,prevention,image,Unnamed: 7
1,Diabetes,Chronic disease affecting blood sugar.,"Diabetes is a chronic condition that occurs when the body cannot properly process glucose in the blood. Over time, high blood sugar can cause serious damage to the heart, blood vessels, eyes, kidneys, and nerves. Managing diabetes involves lifestyle changes, medication, and regular monitoring of blood sugar levels. Individuals with diabetes need to maintain a balanced diet and exercise regularly to avoid complications.","Increased thirst, frequent urination, extreme fatigue, blurred vision, slow healing of cuts, tingling in hands and feet.","Maintain a healthy diet rich in vegetables and whole grains, exercise regularly, monitor blood sugar levels, and follow prescribed medications. Regular check-ups with a healthcare professional are essential.",diabetes.jpg,
2,Heart Disease,Affects the heart and arteries.,"Heart disease refers to a range of conditions that affect the heart, including coronary artery disease, arrhythmias, and heart failure. It is often caused by plaque buildup in the arteries, which can restrict blood flow and lead to heart attacks. Risk factors include high blood pressure, high cholesterol, obesity, and smoking. Preventive measures focus on lifestyle modification and sometimes medication.","Chest pain, shortness of breath, fatigue, irregular heartbeat, swelling in legs, dizziness.","Avoid smoking, maintain a healthy weight, exercise regularly, manage blood pressure and cholesterol, and follow a heart-healthy diet. Annual health screenings can help detect early signs of heart problems.",heartdisease.jpg,
3,Obesity,Excessive body fat increases health risks.,"Obesity is a medical condition characterized by excessive body fat that increases the risk of various health problems. It can lead to diabetes, heart disease, joint problems, and certain types of cancer. Obesity often results from a combination of genetic, behavioral, and environmental factors. Effective management includes diet modification, physical activity, and behavioral therapy.","Excess body fat, difficulty performing physical activities, shortness of breath, increased sweating, snoring, joint pain.","Adopt a balanced diet, engage in regular physical activity, avoid sugary and processed foods, and seek guidance from healthcare professionals or nutritionists. Behavioral changes and support groups can help sustain healthy habits.",obesity.jpg,
4,Cancer,Uncontrolled cell growth affecting the body.,"Cancer is a group of diseases characterized by the uncontrolled growth and spread of abnormal cells. It can affect almost any part of the body and often requires a combination of treatments such as surgery, chemotherapy, and radiation therapy. Early detection through screening can significantly improve survival rates. Cancer prevention focuses on reducing risk factors such as smoking, unhealthy diet, and exposure to carcinogens.","Unexplained weight loss, persistent fatigue, lumps or swelling, changes in skin appearance, unusual bleeding or discharge.","Avoid tobacco and excessive alcohol, eat a healthy diet, maintain a healthy weight, exercise regularly, get regular medical check-ups, and participate in recommended screening programs.",cancer.jpg,
5,Asthma,Chronic respiratory condition.,"Asthma is a chronic respiratory condition that causes inflammation and narrowing of the airways, leading to difficulty breathing. Triggers can include allergens, exercise, cold air, and stress. Proper management can help people with asthma lead normal, active lives. Treatment usually involves inhalers, medication, and avoiding triggers.","Shortness of breath, wheezing, coughing, chest tightness, difficulty sleeping due to breathing issues.","Identify and avoid triggers, use prescribed inhalers and medications, monitor symptoms regularly, and follow an asthma action plan provided by a healthcare provider.",asthma.jpg,
6,Alzheimer's Disease,Progressive memory loss and cognitive decline.,"Alzheimer’s disease is a progressive neurological disorder that causes memory loss, cognitive decline, and behavioral changes. It is the most common cause of dementia among older adults. The disease affects brain cells and disrupts communication between neurons, leading to impaired thinking and decision-making. Early diagnosis can help manage symptoms and plan care.","Memory loss, confusion, difficulty completing familiar tasks, changes in mood or personality, disorientation to time and place.","Engage in mental exercises, maintain social connections, eat a balanced diet, manage cardiovascular risk factors, and seek regular medical evaluation. Cognitive therapies and support can improve quality of life.",alzheimers.jpg,
7,Stroke,Sudden brain blood flow interruption.,"A stroke occurs when the blood supply to part of the brain is interrupted or reduced, preventing brain tissue from getting oxygen and nutrients. Prompt treatment is crucial to minimize brain damage. Risk factors include high blood pressure, smoking, diabetes, obesity, and high cholesterol. Preventive strategies focus on lifestyle changes and medications for underlying conditions.","Sudden numbness or weakness in the face, arm, or leg, especially on one side; confusion; trouble speaking; vision problems; dizziness; severe headache.","Maintain healthy blood pressure, control cholesterol levels, exercise regularly, avoid smoking, and eat a heart-healthy diet. Recognize symptoms early and seek emergency care immediately.",stroke.jpg,
8,Liver Diseases,Conditions affecting liver health.,"Liver diseases encompass a range of conditions that affect the liver, including hepatitis, fatty liver disease, cirrhosis, and liver cancer. The liver is crucial for detoxifying blood, metabolizing nutrients, and producing essential proteins. Liver disease can progress silently, making early detection important.","Jaundice (yellowing of skin/eyes), fatigue, abdominal pain, nausea, dark urine, swelling in legs or abdomen.","Avoid excessive alcohol, maintain a healthy weight, eat a balanced diet, get vaccinated against hepatitis, avoid risky behaviors that can transmit infections, and undergo regular medical check-ups.",liverdisease.jpg,
9,Mental Health Conditions,"Affects mood, thinking, and behavior.","Mental health conditions affect mood, thinking, and behavior, and include depression, anxiety disorders, bipolar disorder, and schizophrenia. These conditions can impact daily functioning, relationships, and overall quality of life. Early diagnosis and proper treatment improve outcomes significantly.","Persistent sadness or irritability, excessive worry or fear, mood swings, changes in sleep or appetite, difficulty concentrating.","Maintain a balanced lifestyle with regular exercise, social interactions, healthy sleep, and stress management. Seek professional help, therapy, or medication as recommended. Avoid stigma and promote mental health awareness.",mentalhealth.jpg,
10,Blood Pressure (Hypertension),High blood pressure condition.,"High blood pressure, or hypertension, is a condition in which the force of the blood against the artery walls is too high. Chronic hypertension increases the risk of heart disease, stroke, and kidney problems. It is often symptomless but can be detected through regular monitoring.","Headaches, shortness of breath, nosebleeds (sometimes), dizziness, chest pain.","Monitor blood pressure regularly, eat a low-sodium diet, maintain healthy weight, exercise regularly, avoid smoking and excessive alcohol, manage stress, and take medications if prescribed.",bloodpressure.jpg,
